@relation 'AT: CensusIncome-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-Ntest-Clast-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Add-Ntest-C14-weka.filters.unsupervised.attribute.Remove-R2-3,5-9,13-14-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Center_principal components'

@attribute '1    capital-gain-0.002capital-loss+0    age+0    hours-per-week+0    education-num' numeric
@attribute income {>50K,<=50K}

@data
-1077.496636,<=50K
-1077.493057,<=50K
-1077.492413,<=50K
-1077.494685,>50K
-1077.49177,<=50K
-1077.498513,<=50K
-1077.498745,<=50K
-1077.493269,<=50K
-1077.497325,<=50K
-1077.496158,>50K
-1077.499687,<=50K
-1077.494887,>50K
-1080.47457,<=50K
-1077.497225,>50K
-1077.496779,<=50K
-1077.496162,<=50K
-1077.495033,<=50K
-1080.546862,<=50K
3308.496345,<=50K
-1077.49501,<=50K
-1077.495597,<=50K
-1077.496135,>50K
-1077.49301,<=50K
-1077.498497,<=50K
-1077.50151,<=50K
-1077.494728,>50K
-1077.493049,<=50K
-1077.497884,<=50K
-1077.500342,<=50K
-1080.201197,>50K
-1077.491715,<=50K
-1077.498664,<=50K
-1077.500698,<=50K
-1077.498733,<=50K
-1081.262678,<=50K
-1077.495589,<=50K
-1077.495277,<=50K
-1077.496922,<=50K
-1077.496895,<=50K
-1077.499443,<=50K
-1077.493685,>50K
-1077.494128,<=50K
-1077.49833,<=50K
-1080.638486,<=50K
-1077.495018,<=50K
-1077.494293,<=50K
-1077.494966,<=50K
-1077.498214,<=50K
-1077.495274,<=50K
-1077.497783,<=50K
-1077.495131,>50K
-1077.496593,<=50K
-1077.495815,<=50K
-1077.494987,<=50K
-1077.502449,<=50K
-1077.494868,<=50K
-1080.923602,<=50K
-1077.497783,<=50K
-1080.914926,>50K
-1077.496445,<=50K
-1077.497612,>50K
-1077.499893,<=50K
-1077.498787,<=50K
-1077.496922,<=50K
-1077.502888,<=50K
-1077.493618,<=50K
-1077.495707,>50K
-1077.495589,<=50K
-1077.496798,<=50K
-1077.496275,>50K
-1077.496187,>50K
-1077.496922,<=50K
-1077.495747,<=50K
-1077.492715,<=50K
-1077.495828,<=50K
-1077.498293,>50K
-1077.497879,<=50K
-1077.498314,<=50K
-1077.495747,<=50K
-1077.494359,<=50K
-1077.497845,<=50K
-1077.498757,<=50K
-1077.496593,<=50K
13006.48476,>50K
6220.492367,>50K
-1077.498357,<=50K
-1080.743598,<=50K
-1077.499074,<=50K
-1077.493002,>50K
-1079.814119,<=50K
-1077.497148,<=50K
-1077.499303,<=50K
6220.491944,>50K
-1077.494157,<=50K
13946.483081,>50K
-1077.503117,<=50K
-1077.495488,<=50K
-1077.496492,>50K
-1077.496736,<=50K
-1077.493193,<=50K
-1077.494267,>50K
-1077.4937,>50K
-1077.494499,<=50K
-1077.494867,<=50K
-1077.493207,<=50K
-1077.498342,<=50K
-1077.49731,<=50K
-1077.492918,<=50K
-1081.305576,<=50K
-1077.496675,<=50K
-1077.495194,<=50K
-1077.499218,<=50K
-1077.497253,<=50K
331.506842,<=50K
-1077.493577,<=50K
-1077.492475,<=50K
2596.497564,<=50K
-1077.49618,<=50K
-1077.497909,<=50K
-1077.497023,<=50K
-1077.495561,>50K
-1077.493336,<=50K
-1077.496281,<=50K
-1077.494437,>50K
-1077.492203,>50K
-1077.4985,<=50K
-1077.495891,>50K
-1077.49854,<=50K
-1077.496918,<=50K
-1077.50151,<=50K
-1080.508478,<=50K
-1077.494422,<=50K
-1077.492824,>50K
-1077.497996,<=50K
-1080.913797,>50K
-1077.495344,<=50K
-1077.495662,>50K
-1077.495604,<=50K
-1077.494775,<=50K
-1077.499032,<=50K
-1077.496059,<=50K
-1077.495775,>50K
-1077.498931,<=50K
-1077.49852,<=50K
-1077.494604,<=50K
-1077.494841,<=50K
-1077.496465,<=50K
-1077.492723,<=50K
-1077.503117,<=50K
2986.500544,<=50K
-1077.498156,<=50K
-1077.491862,>50K
-1077.501129,<=50K
-1077.492619,>50K
-1077.49624,<=50K
-1077.497066,>50K
-1077.493049,>50K
-22.503229,<=50K
1329.509539,<=50K
-1077.498368,<=50K
-1077.497496,<=50K
-1077.495631,<=50K
6220.493487,>50K
-1077.496736,<=50K
-1077.498171,<=50K
6220.491667,>50K
-1077.50175,<=50K
4100.496416,>50K
-1077.496139,<=50K
-1077.49276,<=50K
-1077.498787,<=50K
13946.483807,>50K
-1077.49304,>50K
-1077.493929,<=50K
-1077.498043,<=50K
-1077.494841,<=50K
-1077.495809,<=50K
-1077.497353,<=50K
-1077.495372,<=50K
-1077.498089,<=50K
-1077.497756,<=50K
-1077.495621,<=50K
-1077.4937,<=50K
2386.498755,<=50K
-1077.498357,<=50K
-1077.491105,<=50K
6610.493598,>50K
-1077.500711,<=50K
-1077.496697,>50K
3308.499439,>50K
-1077.498314,<=50K
-1077.495631,<=50K
-1077.497287,<=50K
-1077.49599,<=50K
-1077.496651,>50K
-1077.49404,>50K
-1077.497899,<=50K
6220.491568,>50K
-1077.500998,<=50K
-1077.496465,>50K
-1077.501878,<=50K
-1077.498314,<=50K
-1077.490711,<=50K
-1077.4989,<=50K
-1077.497597,<=50K
-1077.495003,<=50K
-1077.496205,<=50K
-1080.063534,<=50K
-1077.496124,<=50K
-1077.497725,<=50K
-1077.494616,<=50K
-1077.492107,<=50K
-1077.501692,<=50K
-1080.75905,>50K
-1077.49348,<=50K
972.506525,<=50K
-1077.49522,<=50K
-1077.497899,<=50K
-1077.494972,<=50K
-1077.494038,<=50K
-1077.494197,<=50K
-1077.498569,<=50K
-1077.497496,<=50K
-1077.491935,<=50K
-1077.500385,<=50K
-1077.495344,<=50K
-1077.497942,<=50K
6220.492669,>50K
6220.492297,>50K
-1077.499688,<=50K
-1077.498601,<=50K
-1077.495198,<=50K
-1077.496469,<=50K
-1077.497411,<=50K
-1077.495605,<=50K
-1077.499148,<=50K
-1077.496895,>50K
-1077.49807,<=50K
-1077.496895,>50K
-1077.496597,<=50K
-1077.493165,>50K
-1077.496349,>50K
-1077.492561,<=50K
-1077.495976,>50K
-1077.49643,<=50K
-1077.498241,<=50K
-1077.498861,<=50K
-1077.492692,>50K
-1077.494805,<=50K
-1080.200743,>50K
-1077.496678,<=50K
-1077.497783,<=50K
-1077.493068,<=50K
-1077.501793,<=50K
-1077.492797,>50K
-1077.496205,<=50K
-1077.501304,<=50K
-1077.503379,<=50K
-1077.496238,>50K
-1077.495344,<=50K
-1077.495488,<=50K
-1077.502821,<=50K
-1077.497066,<=50K
-1077.498458,<=50K
-1077.496298,<=50K
-1077.495038,<=50K
-1077.494053,<=50K
-1081.541597,<=50K
-1077.498171,<=50K
-1077.495158,<=50K
-1077.496593,<=50K
-1077.500467,<=50K
-1077.49764,<=50K
-1081.678188,>50K
-1077.502177,<=50K
-1077.499074,<=50K
-1077.496779,>50K
-1077.496445,<=50K
-1077.495073,<=50K
6610.492245,>50K
-1077.497578,<=50K
-1077.495445,<=50K
-1077.495302,<=50K
-1077.499586,<=50K
-1077.496076,>50K
-1077.492859,>50K
-1077.498888,<=50K
-1077.49774,<=50K
-1077.494456,>50K
-1077.493691,<=50K
-1081.26797,<=50K
-1080.912913,>50K
-1077.497783,<=50K
-1077.497167,<=50K
-1080.762513,>50K
-1077.495856,<=50K
-1077.497973,<=50K
-1077.498357,<=50K
-1077.497023,<=50K
13946.484936,>50K
-1077.49731,<=50K
-1077.495511,>50K
-1077.494639,<=50K
-1077.500334,<=50K
-1077.497008,<=50K
-1077.496922,<=50K
-1077.500199,<=50K
1098.49437,<=50K
-1077.497038,>50K
-1077.49764,<=50K
-1077.497849,<=50K
-1077.495592,<=50K
-1079.932458,<=50K
-1077.494306,<=50K
-1077.492762,>50K
-1077.494844,<=50K
-1077.492421,<=50K
-1077.499447,<=50K
1096.500812,<=50K
-1077.499334,>50K
-1080.923559,<=50K
-1077.495541,>50K
-483.495202,<=50K
-1077.49688,<=50K
-1077.498458,<=50K
-1077.495732,<=50K
-1077.497469,<=50K
-1077.496917,<=50K
-1077.498357,<=50K
-1077.495445,>50K
-1077.498097,<=50K
-1077.499543,<=50K
-1077.495488,<=50K
-1077.494484,<=50K
-1077.498931,<=50K
-1077.504034,<=50K
-1077.499074,<=50K
-1077.493336,>50K
-1077.493193,>50K
-1077.495647,>50K
-1077.495488,>50K
-1077.495976,>50K
-1077.497496,<=50K
-1077.494995,<=50K
-1077.495879,<=50K
-1077.497167,<=50K
-1077.49536,<=50K
-1077.494053,<=50K
-1077.495728,<=50K
-1077.494926,<=50K
-1077.500808,<=50K
-1077.49387,<=50K
-1077.49434,<=50K
-1077.496306,<=50K
-1080.914387,>50K
-1077.500471,>50K
-1077.49315,>50K
-1077.498601,<=50K
-1077.496779,<=50K
-1077.494875,<=50K
-1077.4942,<=50K
-1077.49503,<=50K
-1077.503989,<=50K
-1077.499912,<=50K
-1077.498055,<=50K
-1077.499156,<=50K
-1077.496282,<=50K
-1077.49821,<=50K
-1077.500234,<=50K
-1077.495918,<=50K
-483.495284,<=50K
-1077.500792,<=50K
-1077.493717,<=50K
-1077.492681,<=50K
-1077.495174,<=50K
13946.48366,>50K
-1077.496717,<=50K
-1077.495201,<=50K
-1077.494029,<=50K
-1077.498889,<=50K
-1077.499517,<=50K
-1077.496443,<=50K
-1077.498888,<=50K
-1077.498757,<=50K
-1077.498683,<=50K
-1077.494093,<=50K
-1077.4985,<=50K
-1077.492906,<=50K
-1077.494298,<=50K
-1077.493175,<=50K
-1077.498043,<=50K
-1077.498186,<=50K
-1077.503226,<=50K
-1077.495589,<=50K
-1077.495058,<=50K
-1077.496205,<=50K
-1079.882015,<=50K
-1077.495764,<=50K
-1077.496469,<=50K
-1077.495569,>50K
-1077.497128,<=50K
-1077.4938,<=50K
-1077.500792,<=50K
-1077.500985,<=50K
-1077.4994,<=50K
-1077.495441,>50K
13946.486282,>50K
6610.495025,>50K
-1077.497003,<=50K
-1077.495794,>50K
-1077.493086,>50K
-1077.49774,<=50K
-1077.495604,>50K
-1077.495205,<=50K
-1077.495038,<=50K
-1077.495274,<=50K
-1077.494787,<=50K
-1077.49807,<=50K
-1077.496636,<=50K
-1077.494479,>50K
18973.478709,>50K
-1077.494937,<=50K
-1077.495233,<=50K
-1077.497554,<=50K
-1077.496527,<=50K
-1077.496922,<=50K
-1077.495445,<=50K
-1077.497341,<=50K
-1077.497454,<=50K
-1077.497927,<=50K
-1077.496573,<=50K
-1077.496554,<=50K
-1077.497802,<=50K
-1077.496736,<=50K
-1077.499312,<=50K
-1077.49774,<=50K
-1077.493847,<=50K
-1077.496636,<=50K
-1077.491557,<=50K
-1077.496779,<=50K
-1077.49698,>50K
-1077.491987,<=50K
-1077.496779,<=50K
-1077.499974,<=50K
-1077.497971,<=50K
-1077.497582,<=50K
-1077.495646,<=50K
-1077.494538,>50K
-1077.493704,>50K
-1077.498357,<=50K
-1077.491548,>50K
-1077.497882,<=50K
3935.497635,<=50K
-1077.495558,<=50K
-1077.498295,<=50K
-1077.494582,<=50K
-1077.498357,<=50K
-1077.494484,<=50K
-1077.503117,<=50K
-1080.916892,>50K
-1077.493695,<=50K
-1077.497469,>50K
-1077.501227,<=50K
-1077.497163,<=50K
-1077.493309,<=50K
-1077.497372,<=50K
-1077.493744,>50K
-1077.493623,>50K
-1077.493336,<=50K
-1077.497927,<=50K
-1077.497182,<=50K
-1077.500842,<=50K
-1077.494975,<=50K
-1077.499303,<=50K
-1080.758323,>50K
-1077.488209,<=50K
-1077.495775,<=50K
-1077.49391,<=50K
-1077.492358,>50K
6610.491159,>50K
-1077.49833,<=50K
-1077.497927,<=50K
-1077.500424,<=50K
-1080.784932,>50K
1096.498532,<=50K
-1077.493944,<=50K
-1077.497038,<=50K
-1077.500605,<=50K
-1077.493406,<=50K
-1077.495946,<=50K
-1077.496651,<=50K
-1077.495307,<=50K
-1077.49427,>50K
-1077.49764,<=50K
-1077.496636,<=50K
-1077.50198,<=50K
5771.498109,<=50K
-1077.498357,<=50K
-1077.497046,<=50K
-22.499499,<=50K
-1077.500377,<=50K
-1077.493584,<=50K
-1077.496841,<=50K
-1077.495676,<=50K
-1077.492203,<=50K
13946.482927,>50K
-1077.500951,<=50K
-1077.498052,<=50K
-1077.494744,<=50K
-1077.495588,<=50K
-1077.495228,<=50K
-1077.494875,<=50K
-1077.496267,>50K
-1077.493203,<=50K
-1077.497023,>50K
-1077.496435,>50K
-1077.495015,<=50K
-1077.494899,<=50K
13946.484249,>50K
-1077.497325,>50K
-1077.490858,<=50K
-1077.502482,<=50K
-1077.498616,<=50K
13946.482943,>50K
-1077.494003,<=50K
-1077.49142,>50K
-1077.496104,<=50K
-1077.493193,<=50K
-1077.498745,<=50K
4100.496866,>50K
-1077.496655,<=50K
-1077.494328,>50K
-1077.497353,<=50K
-1077.494892,<=50K
-1077.492169,<=50K
-1077.497325,>50K
-1077.50151,<=50K
3023.496735,<=50K
-1077.49648,>50K
-1077.495651,<=50K
-1077.498975,<=50K
-1077.497597,<=50K
33.503109,<=50K
-1077.496267,<=50K
-1077.496357,<=50K
-1077.495631,>50K
-1077.495531,>50K
-1077.493944,<=50K
-1077.497884,<=50K
-1077.49568,<=50K
-1077.500854,<=50K
7536.49129,>50K
2333.496943,<=50K
-1077.495775,>50K
-1080.547521,<=50K
-1080.476097,<=50K
-1077.494871,<=50K
-1077.502068,<=50K
-1077.503379,<=50K
-1077.496895,>50K
-1077.493316,>50K
1519.497418,<=50K
-1077.50255,<=50K
-1077.497167,<=50K
-1077.496697,<=50K
-1077.492169,<=50K
-1077.496591,<=50K
-1077.496407,>50K
-1077.496922,>50K
-1077.498458,<=50K
-1077.503891,<=50K
-1077.496922,<=50K
-1077.497265,<=50K
-1077.493207,<=50K
-1077.49636,<=50K
-1077.499381,<=50K
-1077.494011,<=50K
-1077.497659,<=50K
-1077.494421,<=50K
-1077.50151,<=50K
-1077.500951,<=50K
-1077.49743,<=50K
-1077.493944,>50K
-1080.787864,>50K
-1077.497325,<=50K
-1077.501696,<=50K
-1077.495154,<=50K
-1079.884774,<=50K
-1077.500055,<=50K
-1077.49731,<=50K
24158.470105,>50K
-1077.494006,>50K
-1077.496104,<=50K
-1077.495302,<=50K
-1077.493848,<=50K
-1077.501269,<=50K
-1077.497612,<=50K
-1077.496593,<=50K
-1077.496465,<=50K
3308.497372,<=50K
-1077.49712,<=50K
-1077.497353,<=50K
-1077.497066,<=50K
-1077.499074,<=50K
-1077.501878,<=50K
-1077.496096,>50K
-1077.497066,<=50K
-1081.041812,<=50K
3572.495479,<=50K
-1077.494365,>50K
6220.493984,>50K
-1077.495461,>50K
-1077.495488,<=50K
-1077.50151,<=50K
-1077.497353,<=50K
8308.495696,>50K
-1077.500555,<=50K
-1077.493867,<=50K
-1081.60987,<=50K
-1077.501405,<=50K
-1077.495302,<=50K
1329.499614,<=50K
-1077.497117,<=50K
-1077.49415,<=50K
-483.497289,<=50K
-1077.495604,>50K
-1077.500998,<=50K
-1077.489715,<=50K
13006.484391,>50K
-1077.497985,<=50K
-1077.502026,<=50K
-1077.495604,>50K
6610.494431,>50K
-1077.497167,<=50K
-1077.497725,<=50K
-1077.495423,<=50K
6610.490872,>50K
-1077.501095,<=50K
-1077.493608,<=50K
-1077.49719,<=50K
-1077.496205,<=50K
-1077.498103,<=50K
-1077.494053,>50K
-1077.49624,<=50K
-1077.495201,>50K
-1077.496492,<=50K
-1077.499519,<=50K
-1077.493598,>50K
-1077.496922,<=50K
-1077.489965,>50K
-1077.492347,>50K
-1077.497075,<=50K
-1077.49731,<=50K
-1077.499912,<=50K
-1077.493576,<=50K
-1077.497209,<=50K
-1077.49829,<=50K
-1077.497797,<=50K
-1077.495387,<=50K
-1077.498504,>50K
-1077.494172,<=50K
-1077.496318,<=50K
-1077.496593,<=50K
-1077.496709,<=50K
-1077.49415,>50K
-1077.494011,<=50K
-1077.495589,<=50K
-1080.385038,<=50K
-1077.494665,>50K
-1077.493254,<=50K
-1077.493925,>50K
-1077.495994,<=50K
-1081.561026,<=50K
-1077.500571,<=50K
-1077.496482,<=50K
-22.500387,<=50K
-1077.493518,>50K
-1077.495747,<=50K
-1077.500093,<=50K
1385.497764,<=50K
-1077.490571,>50K
-1077.501223,<=50K
-1077.493049,<=50K
-1077.498214,<=50K
-1077.495643,>50K
-1080.786185,>50K
-1077.495503,<=50K
-1080.477237,<=50K
-1077.494752,<=50K
-1077.497615,<=50K
-1077.502068,<=50K
4100.495987,>50K
-1077.494414,<=50K
2025.499317,>50K
-1077.492448,>50K
-1077.500242,<=50K
-1077.498021,<=50K
-1077.498601,<=50K
-1077.494933,<=50K
-1077.498601,<=50K
-1077.502111,<=50K
-1077.49047,<=50K
-1077.493211,<=50K
-1077.492413,>50K
-1077.491963,<=50K
-1077.493747,>50K
-1077.494829,<=50K
-1077.496353,<=50K
-1077.497554,<=50K
-1077.497496,<=50K
-1080.38738,<=50K
-1078.623142,>50K
-1077.492906,<=50K
-1077.498303,<=50K
-1077.497555,<=50K
-1077.498186,<=50K
-1077.499137,<=50K
3308.499195,>50K
-1077.498027,<=50K
-1077.491328,<=50K
-1077.493654,<=50K
-1077.49391,<=50K
-1077.498214,<=50K
-1077.494437,>50K
-1077.496875,<=50K
-1077.497219,<=50K
-1077.502068,<=50K
-1077.495425,<=50K
-1077.494441,>50K
-1077.491686,<=50K
3308.499439,>50K
-1077.495589,<=50K
-1077.494751,<=50K
-1077.495666,>50K
-1077.496034,<=50K
-1077.500237,<=50K
-1077.492836,>50K
-1077.496018,<=50K
-1077.49389,<=50K
-1077.497899,<=50K
-1077.493304,>50K
-1077.496922,<=50K
-1077.496922,<=50K
-1077.493336,>50K
-1077.496752,<=50K
-1077.492502,>50K
-1077.501925,<=50K
-1077.495631,<=50K
-1077.493689,<=50K
-1077.493808,<=50K
-1077.497066,<=50K
-1077.501591,<=50K
-1077.498915,<=50K
-1077.50102,<=50K
-1077.494852,>50K
-1077.497469,<=50K
-1077.495317,>50K
-1077.497003,<=50K
9527.492517,>50K
-1081.672599,>50K
-1077.496132,<=50K
-1077.493126,>50K
-1077.502826,<=50K
-1077.496263,<=50K
-1077.496205,>50K
-1077.500385,<=50K
-1077.494942,<=50K
-1077.497038,>50K
-1077.493994,<=50K
-1077.494867,>50K
-1077.494402,<=50K
-1077.495997,<=50K
-1077.499903,<=50K
-1077.494402,<=50K
-1077.494053,<=50K
1096.499804,<=50K
-1077.496182,<=50K
-1077.496608,<=50K
-1077.497698,<=50K
6610.493331,>50K
-1077.492241,>50K
-1077.495848,<=50K
-1077.493049,<=50K
-1077.497162,<=50K
-1077.49667,>50K
-1077.497783,<=50K
-1077.49101,<=50K
-1077.497276,<=50K
-1077.498644,<=50K
-1077.497798,<=50K
-1077.496124,<=50K
-1077.495463,<=50K
-1077.494876,<=50K
-1077.501463,<=50K
-1077.500425,<=50K
-1077.494154,<=50K
-1077.499237,<=50K
-1077.495782,<=50K
-1077.491703,<=50K
-1077.49688,<=50K
-1077.4985,<=50K
13946.481837,>50K
-1077.494107,<=50K
-1077.492189,>50K
-1077.491491,<=50K
-1077.501366,<=50K
-1077.500424,<=50K
-1077.498171,<=50K
-1077.496293,<=50K
-1077.496306,<=50K
-1077.497207,<=50K
-1077.497209,<=50K
-1077.496492,<=50K
-1077.491649,>50K
-1077.498339,<=50K
-1077.497365,<=50K
-1077.493809,<=50K
-1077.502964,<=50K
-1077.494825,<=50K
-1077.4985,<=50K
2025.499241,>50K
-1077.488758,>50K
-1077.49681,<=50K
-1081.673948,>50K
-1077.498377,<=50K
-1077.497182,>50K
-1077.497225,<=50K
-1077.496779,<=50K
-1077.496349,>50K
-1077.498562,<=50K
-1077.498931,<=50K
-1077.494666,<=50K
-1077.496019,<=50K
-1080.916294,>50K
-1077.496244,<=50K
-1077.495445,<=50K
-1077.495488,>50K
-1077.495025,>50K
-1077.494697,<=50K
-1077.501839,<=50K
-1077.494441,<=50K
-1077.497357,<=50K
-1077.491513,>50K
-1077.497194,<=50K
-1077.496895,>50K
-1077.495647,>50K
-1077.497515,<=50K
-1077.497472,<=50K
-1077.493106,<=50K
-1077.496764,<=50K
-1077.497783,<=50K
-1077.501552,<=50K
-1077.494115,>50K
-1077.496532,<=50K
-1077.494743,>50K
-1077.499172,<=50K
-1077.497578,>50K
-1077.498268,<=50K
-1081.630511,>50K
-1077.496492,<=50K
-1077.491555,<=50K
-1077.498171,<=50K
3023.495036,<=50K
-1077.496504,>50K
1886.504895,<=50K
-1077.496922,<=50K
-1077.494246,<=50K
-1077.498516,<=50K
-1077.4985,<=50K
-1077.492931,<=50K
-1077.495344,>50K
-1077.495299,<=50K
-1077.496574,<=50K
-1077.495058,<=50K
-1077.495488,<=50K
2247.500517,<=50K
-1080.097159,<=50K
-1077.495833,<=50K
-1077.495938,<=50K
-1077.493747,>50K
-1077.496124,<=50K
-1077.4918,>50K
-1077.494475,<=50K
-1077.492384,>50K
1502.500068,<=50K
13946.482493,>50K
-1077.498888,<=50K
-1080.781776,>50K
-1077.496349,>50K
-1077.495708,<=50K
-1077.500499,<=50K
-1077.493309,<=50K
-1077.492332,<=50K
-1077.496205,>50K
13946.484736,>50K
-1077.496717,<=50K
-1077.494484,<=50K
-1077.496837,<=50K
2025.500667,>50K
-1077.495208,>50K
-1077.498101,<=50K
-1077.495128,<=50K
-1077.49698,>50K
-1077.495532,<=50K
-1077.498644,<=50K
-1077.500385,<=50K
-1077.494565,<=50K
-1077.495356,>50K
-1077.497086,<=50K
-1077.49688,<=50K
-1077.4985,<=50K
-1077.492456,<=50K
-1077.49667,<=50K
-1077.493378,>50K
-1077.495042,<=50K
-1077.49339,<=50K
-1077.497267,<=50K
-1080.475533,<=50K
-1077.497884,<=50K
-1077.497209,<=50K
-1077.496092,<=50K
-1080.961083,<=50K
331.500248,<=50K
-1077.491904,<=50K
-1077.498233,<=50K
-1077.501203,<=50K
-1077.488889,<=50K
-1077.498458,<=50K
-1077.495589,<=50K
6610.495646,>50K
-1077.498708,<=50K
-1077.495561,<=50K
-1077.495112,<=50K
-1077.498458,<=50K
-1077.497577,<=50K
-1080.785879,>50K
-1077.493049,<=50K
-1077.494026,>50K
6220.491607,>50K
-1077.492331,>50K
-1077.496306,<=50K
-1077.497038,<=50K
-1077.492951,<=50K
-1077.495833,<=50K
-1080.785282,>50K
-1077.494427,>50K
-1077.496287,<=50K
2393.501687,<=50K
-1077.495102,<=50K
-1077.496794,<=50K
-1077.489485,>50K
-1077.496306,<=50K
-1080.911765,>50K
-1077.496678,<=50K
-1077.496015,<=50K
-1077.493886,<=50K
-1077.501095,<=50K
-1080.787073,>50K
-1077.495181,>50K
-1080.784553,>50K
-1077.502724,<=50K
-1077.501653,<=50K
-1080.248677,<=50K
-1077.497162,<=50K
-1077.494771,<=50K
-1077.495546,>50K
-1077.495461,<=50K
-1077.49973,<=50K
-1077.490858,<=50K
-1077.495876,>50K
-1077.49731,<=50K
-1077.497411,<=50K
-1077.497209,<=50K
-1077.498124,<=50K
6220.494774,>50K
-1077.497922,<=50K
-1077.49579,>50K
-1077.494006,>50K
-1077.494432,<=50K
-1077.496922,<=50K
-1077.498745,<=50K
-1077.501095,<=50K
-1077.493034,<=50K
-1077.499074,<=50K
-1080.920091,>50K
-1077.495589,<=50K
-1077.496453,<=50K
-1077.492552,>50K
-1080.352836,<=50K
-1077.494437,<=50K
-1077.498761,>50K
-1077.49784,<=50K
-1077.496264,<=50K
-1077.499606,<=50K
2025.499547,>50K
-1077.493867,<=50K
-1077.49591,>50K
-1077.49624,>50K
-1077.496583,<=50K
-1077.491902,<=50K
-1077.496922,<=50K
-1081.667461,>50K
-1077.496593,<=50K
-1077.494607,<=50K
-1077.493309,>50K
-1077.494026,<=50K
-1077.497597,<=50K
3787.497278,<=50K
-1077.497142,<=50K
-1077.496465,<=50K
-1077.495527,<=50K
-1077.498845,<=50K
-1077.495468,>50K
-1077.492762,<=50K
-1077.49522,<=50K
-1077.496957,<=50K
-1077.497454,<=50K
-1077.496922,<=50K
-1077.497353,<=50K
-1077.496669,<=50K
-1077.495732,<=50K
-1077.495999,>50K
-1077.494332,>50K
-1077.494157,>50K
-1077.496223,<=50K
-1077.496873,<=50K
-1077.501653,<=50K
-1077.498233,<=50K
-1077.493336,<=50K
